Most serious offense id,Total_x,All inmates 2013,Male 2013,Female 2013,White 2013,Black 2013,Hispanic 2013,Total 2014,All inmates 2014,Male 2014,Female 2014,White 2014,Black 2014,Hispanic 2014
Violent,Total Violent,"704,800","670,900","34,000","223,900","282,100","162,300",Total Violent,"704,800","670,900","34,000","223,900","282,100","162,300"
Violent,Total Violent,"704,800","670,900","34,000","223,900","282,100","162,300",Murderd,"165,600","155,300","10,300","45,100","68,300","39,000"
Violent,Total Violent,"704,800","670,900","34,000","223,900","282,100","162,300",Manslaughter,"18,000","15,700","2,300","6,800","3,800","3,100"
Violent,Total Violent,"704,800","670,900","34,000","223,900","282,100","162,300",Rape/sexual assault,"166,200","164,100","2,200","78,500","39,700","37,300"
Violent,Total Violent,"704,800","670,900","34,000","223,900","282,100","162,300",Robbery,"181,100","173,100","8,100","37,500","98,800","37,100"
Violent,Total Violent,"704,800","670,900","34,000","223,900","282,100","162,300",Aggravated or simple assault,"132,400","124,600","7,800","41,100","54,300","35,700"
Violent,Total Violent,"704,800","670,900","34,000","223,900","282,100","162,300",Other violent,"41,400","38,000","3,400","14,800","17,200","10,000"
Violent,Murderd,"165,600","155,300","10,300","45,100","68,300","39,000",Total Violent,"704,800","670,900","34,000","223,900","282,100","162,300"
Violent,Murderd,"165,600","155,300","10,300","45,100","68,300","39,000",Murderd,"165,600","155,300","10,300","45,100","68,300","39,000"
Violent,Murderd,"165,600","155,300","10,300","45,100","68,300","39,000",Manslaughter,"18,000","15,700","2,300","6,800","3,800","3,100"
Violent,Murderd,"165,600","155,300","10,300","45,100","68,300","39,000",Rape/sexual assault,"166,200","164,100","2,200","78,500","39,700","37,300"
Violent,Murderd,"165,600","155,300","10,300","45,100","68,300","39,000",Robbery,"181,100","173,100","8,100","37,500","98,800","37,100"
Violent,Murderd,"165,600","155,300","10,300","45,100","68,300","39,000",Aggravated or simple assault,"132,400","124,600","7,800","41,100","54,300","35,700"
Violent,Murderd,"165,600","155,300","10,300","45,100","68,300","39,000",Other violent,"41,400","38,000","3,400","14,800","17,200","10,000"
Violent,Manslaughter,"18,000","15,700","2,300","6,800","3,800","3,100",Total Violent,"704,800","670,900","34,000","223,900","282,100","162,300"
Violent,Manslaughter,"18,000","15,700","2,300","6,800","3,800","3,100",Murderd,"165,600","155,300","10,300","45,100","68,300","39,000"
Violent,Manslaughter,"18,000","15,700","2,300","6,800","3,800","3,100",Manslaughter,"18,000","15,700","2,300","6,800","3,800","3,100"
Violent,Manslaughter,"18,000","15,700","2,300","6,800","3,800","3,100",Rape/sexual assault,"166,200","164,100","2,200","78,500","39,700","37,300"
Violent,Manslaughter,"18,000","15,700","2,300","6,800","3,800","3,100",Robbery,"181,100","173,100","8,100","37,500","98,800","37,100"
