state,includes_jails,Latitude,Longitude,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,inmate_pop_13,inmate_pop_14,2015,2016,state_pop_13,state_pop_14
AL,0,32.31823,-86.902298,"24,741","25,100","27,614","25,635","24,315","24,103","25,253","25,363","27,241","27,345","26,813","26,768",26825,26145,"25,212","23,745",4833996,4849377
AK,1,66.160507,-153.369141,"4,570","4,351","4,472","4,534","4,798","5,052","5,151","4,997","5,472","5,369","6,216","6,308",5081,6323,"5,247","4,378",737259,736732
AZ,0,34.048927,-111.093735,"27,710","29,359","31,084","32,384","33,345","35,752","37,700","39,455","40,544","40,130","39,949","40,013",41031,42136,"42,204","42,248",6634997,6731484
AR,0,34.799999,-92.199997,"11,489","11,849","12,068","12,577","12,455","12,854","13,275","13,135","13,338","14,192","14,090","14,043",14295,15250,"15,784","15,833",2958765,2966369
CA,0,36.778259,-119.417931,"157,142","159,695","161,785","163,939","168,035","172,298","171,444","171,085","168,830","162,821","147,578","132,935",134339,134430,"127,815","129,416",38431393,38802500
CO,0,39.113014,-105.358887,"17,278","18,636","19,450","19,655","21,063","22,051","22,666","23,211","22,725","22,752","21,862","20,328",20184,20469,"19,959","19,486",5272086,5355866
CT,1,41.599998,-72.699997,"17,507","18,716","18,023","17,993","17,928","18,902","19,438","19,905","18,938","18,629","17,877","17,164",17319,16814,"16,024","15,040",3599341,3596677
DE,1,39,-75.5,"6,841","6,637","6,630","6,753","6,788","7,021","7,110","6,944","6,581","6,378","6,546","6,730",6798,6730,"6,437","6,334",925240,935614
FL,0,27.994402,-81.760254,"72,404","75,210","79,594","83,165","86,559","90,377","95,187","99,878","101,373","102,070","100,861","99,835",100940,100873,"99,485","98,010",19600311,19893297
GA,0,33.247875,-83.441162,"45,937","47,445","47,208","51,104","48,749","52,792","54,256","52,719","53,538","52,794","52,844","55,178",53701,52719,"52,002","53,433",9994759,10097343
HI,1,19.741755,-155.844437,"5,116","5,069","5,499","5,555","5,739","5,510","5,457","5,455","4,848","5,294","5,454","5,297",5173,5390,"5,413","5,182",1408987,1419561
